id,name,status,answer_accuracy_proxy,hit_at_5,mrr_at_5,citation_accuracy,refusal_accuracy,faithfulness_proxy,latency_p50_ms,latency_p95_ms,index_build_ms,model_load_ms,embedding_dimension,embedding_load_mode,embedding_used_fallback,embedding_trust_remote_code,chunks,chunk_strategy,retriever,embedding_model,vector_backend,query_rewrite,metadata_filter,refusal_gate
V6-e5,hybrid_multilingual_e5_faiss_guarded,completed,0.46917844592083796,0.9033333333333333,0.9033333333333333,0.9012345679012346,1.0,0.9104938271604939,30.205499999283347,39.16739999840502,8331.151400001545,726.204400001734,384,local_cache,False,False,833,markdown_headers,hybrid_rrf,intfloat/multilingual-e5-small,faiss,False,False,True
V6,hybrid_rrf_with_refusal_gate,completed,0.4401868729743126,0.9033333333333333,0.9033333333333333,0.9012345679012346,1.0,0.9104938271604939,7.202299995697103,11.53609999892069,241.39070000092033,0.0,512,local-hashing,True,False,833,markdown_headers,hybrid_rrf,local-hashing,numpy,False,False,True
V6-recursive,hybrid_bge_small_recursive_guarded,completed,0.5649887107868169,0.9633333333333334,0.9267777777777778,0.5314814814814816,1.0,0.5407407407407407,13.834900004439987,17.054100004315842,4937.219899999036,39.828200002375524,512,local_cache,False,False,122,recursive_character,hybrid_rrf,BAAI/bge-small-zh-v1.5,faiss,False,False,True
V6-semantic,hybrid_bge_small_semantic_guarded,completed,0.47863423528051047,0.9033333333333333,0.9033333333333333,0.9012345679012346,1.0,0.9104938271604939,20.51449999999022,27.549400001589675,6519.740000003367,68.12460000219289,512,local_cache,False,False,706,semantic,hybrid_rrf,BAAI/bge-small-zh-v1.5,faiss,False,False,True
V7,query_rewrite_metadata_guarded,completed,0.4448182225737083,0.9,0.9,0.8981481481481481,1.0,0.9074074074074074,7.521999999880791,13.320199999725446,247.03849999787053,0.0,512,local-hashing,True,False,833,markdown_headers,hybrid_rrf,local-hashing,numpy,True,True,True
V8-bge-m3,vector_bge_m3_faiss,completed,0.39765090380884555,0.94,0.8355,0.39753086419753086,0.0,0.39753086419753086,82.83420000225306,95.19030000228668,90990.76749999949,800.0613000040175,1024,local_cache,False,False,833,markdown_headers,vector_only,BAAI/bge-m3,faiss,False,False,False
V8-gte-qwen2-1.5b,vector_gte_qwen2_15b_faiss,skipped,,,,,,,,,,,,,,True,,markdown_headers,vector_only,Alibaba-NLP/gte-Qwen2-1.5B-instruct,faiss,False,False,False
V8-qwen3-0.6b,vector_qwen3_embedding_06b_faiss,completed,0.3695861390831649,0.9666666666666667,0.8664444444444445,0.4660493827160494,0.0,0.4660493827160494,172.48349999863422,198.88299999729497,139742.62639999506,834.4049000006635,1024,local_cache,False,True,833,markdown_headers,vector_only,Qwen/Qwen3-Embedding-0.6B,faiss,False,False,False
V9-bge-m3,hybrid_bge_m3_guarded,completed,0.4839957964215278,0.9,0.9,0.8981481481481481,1.0,0.9074074074074074,95.32619999663439,111.91490000055637,92427.8889000052,788.1468999985373,1024,local_cache,False,False,833,markdown_headers,hybrid_rrf,BAAI/bge-m3,faiss,False,False,True
V9-gte-qwen2-1.5b,hybrid_gte_qwen2_15b_guarded,skipped,,,,,,,,,,,,,,True,,markdown_headers,hybrid_rrf,Alibaba-NLP/gte-Qwen2-1.5B-instruct,faiss,False,False,True
V9-qwen3-0.6b,hybrid_qwen3_embedding_06b_guarded,completed,0.47178226506487075,0.91,0.91,0.9074074074074074,1.0,0.9166666666666666,193.37879999511642,222.23840000515338,145316.23579999723,995.8394999994198,1024,local_cache,False,True,833,markdown_headers,hybrid_rrf,Qwen/Qwen3-Embedding-0.6B,faiss,False,False,True
